id,name,team,oppName,outcome,method,weightDiv,year
0,Aaron Johnson,Unity,Quentin Rosensweig,L,Inside Heel Hook,ABS,2015.0
1,Aaron Johnson,Unity,Neiman Gracie,L,Rnc,94KG,2015.0
2,Aaron Johnson,Unity,Richie Martinez,L,Heel Hook,ABS,2015.0
3,Aaron Johnson,Unity,Leo Nogueira,L,Points,94KG,2016.0
4,Aaron Johnson,Unity,Romulo Azevedo,L,N/A,94KG,2016.0
5,Aaron Johnson,Unity,Abraham Marte,L,Cross Choke,HWABS,2016.0
6,Aaron Johnson,Unity,Andre Galvao,L,Choke,ABS,2016.0
7,Aaron Johnson,Unity,Joao Soares,L,Triangle,100KG,2016.0
8,Aaron Johnson,Unity,Bernardo Faria,L,Triangle Armbar,ABS,2016.0
9,Aaron Johnson,Unity,Joao Rocha,L,Choke From Back,ABS,2016.0
10,Aaron Johnson,Unity,Marcos Tinoco,L,Points,ABS,2016.0
11,Aaron Johnson,Unity,Mike Hillebrand,L,Inside Heel Hook,84KG,2016.0
12,Aaron Johnson,Unity,Dillon Danis,L,Arm In Guillotine,ABS,2016.0
13,Aaron Johnson,Unity,Yuri Simoes,L,Pts: 19X0,O97KG,2016.0
14,Aaron Johnson,Unity,Leo Nogueira,L,Points,110KG,2017.0
15,Aaron Johnson,Unity,Helton Jose,L,Pts: 10X0,ABS,2017.0
16,Aaron Johnson,Unity,Jonathan Satava,L,Points,110KG,2017.0
17,Aaron Johnson,Unity,Keenan Cornelius,L,Points,110KG,2017.0
18,Aaron Johnson,Unity,Tanner Rice,L,Pts: 4X2,94KG,2017.0
19,Aaron Johnson,Unity,Gianni Grippo,L,Points,ABS,2017.0
20,Aaron Johnson,Unity,Joao Rocha,L,Botinha,ABS,2017.0
21,Aaron Johnson,Unity,Leandro Lo,L,Bread Cutter Choke,94KG,2017.0
22,Aaron Johnson,Unity,Mahamed Aly,L,Calf Slicer,O97KG,2017.0
23,Aaron Johnson,Unity,DJ Jackson,L,Points,ABS,2017.0
24,Aaron Johnson,Unity,Gordon Ryan,L,Reverse Triangle,ABS,2017.0
25,Aaron Johnson,Unity,Craig Jones,L,Inside Heel Hook,ABS,2017.0
26,Aaron Johnson,Unity,Joao Assis,L,Pts: 2X0,97KG,2017.0
27,Aaron Johnson,Unity,Keenan Cornelius,L,Rnc,ABS,2017.0
28,Aaron Johnson,Unity,Dany Gerard,L,Referee Decision,110KG,
29,Aaron Johnson,Unity,Matt Leighton,L,Points,110KG,2018.0
30,Aaron Johnson,Unity,Tanner Rice,L,Dq,O85KG,2018.0
31,Aaron Johnson,Unity,Tanner Rice,L,Pts: 7X2,94KG,2018.0
32,Aaron Johnson,Unity,Matt Leighton,L,Triangle Armbar,93KG,2018.0
33,Aaron Johnson,Unity,Fellipe Trovo,L,Pts: 4X2,95KG,2018.0
34,Aaron Johnson,Unity,Victor Silverio,L,Referee Decision,ABS,2018.0
35,Aaron Johnson,Unity,Rafael Vasconcelos,L,Dq,97KG,2018.0
36,Aaron Johnson,Unity,Diogo Sampaio,L,Dq,ABS,2018.0
37,Aaron Johnson,Unity,Max Gimenis,L,Pts: 6X0,O97KG,2018.0
38,Aaron Johnson,Unity,Yuri Simoes,L,Pts: 5X0,ABS,2018.0
39,Aaron Johnson,Unity,Keenan Cornelius,L,Pts: 34X0,ABS,2019.0
40,Aaron Johnson,Unity,Patrick Gaudio,L,Pts: 15X0,94KG,2019.0
41,Aaron Johnson,Unity,Kaynan Duarte,L,Pts: 6X1,93KG,2019.0
42,Aaron Johnson,Unity,Mahamed Aly,L,Choke,100KG,2019.0
43,Aaron Johnson,Unity,Craig Jones,L,Rnc,92KG,2019.0
44,Aaron Johnson,Unity,Tim Spriggs,L,Referee Decision,100KG,2019.0
45,Aaron Johnson,Unity,Max Gimenis,L,Pts: 11X0,O97KG,2019.0
46,Aaron Johnson,Unity,James Puopolo,L,Pts: 3X0,99KG,2019.0
47,Aaron Johnson,Unity,Marcus Almeida,L,Pts: 3X0,ABS,2019.0
48,Aaron Johnson,Unity,Kyle Boehm,L,Ebi/Ot,ABS,2019.0
49,Aaron Johnson,Unity,Kyle Boehm,L,Ebi/Ot,ABS,2019.0
50,Aaron Johnson,Unity,Victor Hugo,L,Triangle Armbar,ABS,2019.0
51,Aaron Johnson,Unity,Freddy Vosgrone,L,Referee Decision,97KG,2019.0
52,Aaron Johnson,Unity,Gordon Ryan,L,Katagatame,,2020.0
53,Aaron Johnson,Unity,Rafael Vasconcelos,L,Pts: 3X0,94KG,2020.0
54,Aaron Johnson,Unity,Fellipe Trovo,L,Triangle,94KG,2020.0
55,Aaron Johnson,Unity,Paulo Gabriel,L,Pts: 6X4,ABS,2020.0
56,Aaron Johnson,Unity,Guilherme Augusto,L,Arm In Ezekiel Choke,100KG,2020.0
57,Aaron Johnson,Unity,Daishi Goto,L,Dq,ABS,2020.0
58,Aaron Johnson,Unity,William Tackett,L,Katagatame,ABS,2020.0
59,Aaron Johnson,Unity,Kaynan Duarte,L,Armbar,97KG,2020.0
60,Aaron Johnson,Unity,Max Gimenis,L,Referee Decision,ABS,2021.0
61,Aaron Johnson,Unity,Vinicius Trator,L,Pts: 5X0,O91KG,2021.0
62,Aaron Johnson,Unity,Kaynan Duarte,L,Points,ABS,2021.0
63,Aaron Johnson,Unity,Matheus Gabriel,L,Pts: 2X0,ABS,2021.0
64,Aaron Johnson,Unity,Victor Hugo,L,Pts: 2X2,O97KG,2021.0
65,Aaron Johnson,Unity,Gustavo Batista,L,Referee Decision,,2021.0
66,Aaron Johnson,Unity,Tim Spriggs,L,Referee Decision,ABS,2021.0
67,Aaron Johnson,Unity,Vitor Schlosser,W,Toe Hold,94KG,2015.0
68,Aaron Johnson,Unity,Ricardo Bastos,W,Straight Ankle Lock,94KG,2015.0
69,Aaron Johnson,Unity,Joseph Cashin,W,Points,ABS,2016.0
70,Aaron Johnson,Unity,Gordon Ryan,W,Points,ABS,2016.0
71,Aaron Johnson,Unity,Wellington Peroto,W,Straight Ankle Lock,94KG,2016.0
72,Aaron Johnson,Unity,Lincoln Pereira,W,Choke From Back,100KG,2016.0
73,Aaron Johnson,Unity,Choi Choi,W,Referee Decision,ABS,
74,Aaron Johnson,Unity,Leo Davila,W,Straight Ankle Lock,O97KG,2016.0
75,Aaron Johnson,Unity,Samir Abdolkader,W,Flying Armbar,ABS,2016.0
76,Aaron Johnson,Unity,Eliot Marshall,W,Toe Hold,O97KG,2016.0
77,Aaron Johnson,Unity,Shaun Dufree,W,Toe Hold,110KG,2017.0
78,Aaron Johnson,Unity,William Nyman,W,Submission,110KG,2017.0
79,Aaron Johnson,Unity,Daniel Richards,W,Points,O100KG,2017.0
80,Aaron Johnson,Unity,Christian Simmerling,W,Points,O100KG,2017.0
81,Aaron Johnson,Unity,Joao Paulo,W,Points,ABS,2017.0
82,Aaron Johnson,Unity,Josh Bowlin,W,Pts: 7X6,94KG,2017.0
83,Aaron Johnson,Unity,Kaliffa Oliviera,W,Referee Decision,94KG,2017.0
84,Aaron Johnson,Unity,Kory Acchione,W,Referee Decision,,2017.0
85,Aaron Johnson,Unity,Leo Davilla,W,Armbar,97KG,2017.0
86,Aaron Johnson,Unity,Taniel Santos,W,Straight Ankle Lock,ABS,2017.0
87,Aaron Johnson,Unity,Oleksandr Karliychuk,W,Straight Ankle Lock,O97KG,2017.0
88,Aaron Johnson,Unity,Matt Leighton,W,Referee Decision,O97KG,2017.0
89,Aaron Johnson,Unity,Matt Kirchwhem,W,Ebi/Ot,ABS,2017.0
90,Aaron Johnson,Unity,A. Kimler,W,Armbar,ABS,2017.0
91,Aaron Johnson,Unity,Paul Ardila,W,Pts: 4X0,97KG,2017.0
92,Aaron Johnson,Unity,Vitor Schlosser,W,Choke From Back,110KG,2018.0
93,Aaron Johnson,Unity,Gilvan Costa,W,Straight Ankle Lock,94KG,2018.0
94,Aaron Johnson,Unity,Inacio Neto,W,Kneebar,94KG,2018.0
95,Aaron Johnson,Unity,Kenneth Brown,W,Pts: 4X2,110KG,2018.0
96,Aaron Johnson,Unity,Frisco DeLeon,W,Referee Decision,O85KG,2018.0
97,Aaron Johnson,Unity,Rodrigo Freitas,W,Calf Slicer,ABS,2018.0
98,Aaron Johnson,Unity,Tanner Rice,W,Kneebar,ABS,2018.0
99,Aaron Johnson,Unity,Wellington Peroto,W,Straight Ankle Lock,94KG,2018.0
100,Aaron Johnson,Unity,Thiago Jiuliani,W,Points,100KG,2018.0
101,Aaron Johnson,Unity,Nicholas Penzer,W,Straight Ankle Lock,100KG,2018.0
102,Aaron Johnson,Unity,Roberto Torralbas,W,Pts: 2X0,97KG,2018.0
103,Aaron Johnson,Unity,Jackson Sousa,W,Footlock,97KG,2018.0
104,Aaron Johnson,Unity,Tom deBlass,W,Referee Decision,ABS,2018.0
105,Aaron Johnson,Unity,Riley Mccormick,W,Reverse Triangle,O99KG,2018.0
106,Aaron Johnson,Unity,JeQuan Williamson,W,Triangle Armbar,O99KG,2018.0
107,Aaron Johnson,Unity,Andrew Tevay,W,Kneebar,O99KG,2018.0
108,Aaron Johnson,Unity,Hudson Taylor,W,Kneebar,O99KG,2018.0
109,Aaron Johnson,Unity,Kevin Gallager,W,Points,ABS,2018.0
110,Aaron Johnson,Unity,Satoshi Ishii,W,Triangle,O97KG,2018.0
111,Aaron Johnson,Unity,Ben Hodgkinson,W,Straight Ankle Lock,ABS,2018.0
112,Aaron Johnson,Unity,David Garmo,W,Pts: 10X2,ABS,2018.0
113,Aaron Johnson,Unity,Ricardo Abreu,W,Pts: 1X0,94KG,2019.0
114,Aaron Johnson,Unity,Gustavo Andrade,W,Straight Ankle Lock,ABS,2019.0
115,Aaron Johnson,Unity,Nisar Loynab,W,Straight Ankle Lock,ABS,2019.0
116,Aaron Johnson,Unity,Matt Leighton,W,Straight Ankle Lock,ABS,2019.0
117,Aaron Johnson,Unity,M Sturua,W,Choke From Back,94KG,2019.0
118,Aaron Johnson,Unity,Jackson Sousa,W,Inside Heel Hook,93KG,2019.0
119,Aaron Johnson,Unity,Valdir Araujo,D,N/A,93KG,2019.0
120,Aaron Johnson,Unity,Felipe Pena,W,Inside Heel Hook,93KG,2019.0
121,Aaron Johnson,Unity,Lucasz Gustaw,W,Mounted Choke,100KG,2019.0
122,Aaron Johnson,Unity,Paulo Brasil,W,Submission,O97KG,2019.0
123,Aaron Johnson,Unity,Briean Beaury,W,Armlock,ABS,2019.0
124,Aaron Johnson,Unity,Todd Mueckenheim,W,Kimura,ABS,2019.0
125,Aaron Johnson,Unity,Jon Blank,W,Straight Ankle Lock,ABS,2019.0
126,Aaron Johnson,Unity,Viktor Vaughn,W,Heel Hook,ABS,2019.0
127,Aaron Johnson,Unity,Guybson Sa,W,Heel Hook,ABS,2019.0
128,Aaron Johnson,Unity,Quentin Rosenzweig,W,Kneebar,ABS,2019.0
129,Aaron Johnson,Unity,Keith Krikorian,W,Ebi/Ot,ABS,2019.0
130,Aaron Johnson,Unity,William Vincent,W,Straignt Ankle Lock,ABS,2019.0
131,Aaron Johnson,Unity,William Tackett,W,Ebi/Ot,ABS,2019.0
132,Aaron Johnson,Unity,Angelo Claiborne,W,Straight Ankle Lock,ABS,2020.0
133,Aaron Johnson,Unity,Michael Egley,W,Straight Ankle Lock,ABS,2020.0
134,Aaron Johnson,Unity,Rafael Lovato,W,Referee Decision,126KG,2020.0
135,Aaron Johnson,Unity,Bruno Assis,W,Pts: 2X1,94KG,2020.0
136,Aaron Johnson,Unity,Eric Schlosser,W,Dq,94KG,2020.0
137,Aaron Johnson,Unity,Don Scozzari,W,Kneebar,ABS,2020.0
138,Aaron Johnson,Unity,Fellipe Trovo,W,Referee Decision,ABS,2020.0
139,Aaron Johnson,Unity,Arnaldo Maidana,W,Straight Ankle Lock,97KG,2020.0
140,Aaron Johnson,Unity,Arnaldo Maidana,W,Violin Armlock,94KG,2021.0
141,Aaron Johnson,Unity,Jackson Douglas,W,Violin Armlock,O97KG,2021.0
142,Aaron Johnson,Unity,Joe Dierkhising,W,Pts: 2X2,O97KG,
143,Aaron Johnson,Unity,Rida Haisam,W,Referee Decision,ABS,
144,Aaron Johnson,Unity,David Garmo,W,Kneebar,ABS,2021.0
145,Aaron Johnson,Unity,Alexandre Bueno,W,Referee Decision,O91KG,
146,Aaron Johnson,Unity,Damon Morgan,W,Kneebar,ABS,2021.0
147,Aaron Johnson,Unity,Pedro Palhares,W,N/A,ABS,2021.0
148,Aaron Johnson,Unity,Giancarlo Bodoni,W,Outside Heel Hook,ABS,2021.0
149,Aaron Johnson,Unity,John Hansen,W,Estima Lock,O97KG,2021.0
150,Aaron Johnson,Unity,Lucas Barbosa,W,Referee Decision,,2021.0
151,Aaron Johnson,Unity,Orlando Sanchez,W,Dq,ABS,2021.0
152,Abdurakhman Bilarov,Team Nogueira,Erberth Santos,L,Referee Decision,ABS,2016.0
153,Abdurakhman Bilarov,Team Nogueira,Felipe Pena,L,Pts: 8X2,94KG,2017.0
154,Abdurakhman Bilarov,Team Nogueira,Erberth Santos,L,Referee Decision,95KG,2017.0
155,Abdurakhman Bilarov,Team Nogueira,Helton Jose,L,Dq,94KG,2017.0
156,Abdurakhman Bilarov,Team Nogueira,Felipe Pena,L,Pts: 5X0,99KG,2017.0
157,Abdurakhman Bilarov,Team Nogueira,Felipe Pena,L,Arm In Guillotine,95KG,2017.0
158,Abdurakhman Bilarov,Team Nogueira,Yuri Simoes,L,Referee Decision,95KG,2018.0
159,Abdurakhman Bilarov,Team Nogueira,Igor Silva,L,Points,95KG,2018.0
160,Abdurakhman Bilarov,Team Nogueira,Erberth Santos,L,Kneebar,94KG,2019.0
161,Abdurakhman Bilarov,Team Nogueira,Gustavo Batista,L,Pts: 5X0,95KG,2019.0
162,Abdurakhman Bilarov,Team Nogueira,Claudio Calasans,W,Pts: 4X2,ABS,2015.0
163,Abdurakhman Bilarov,Team Nogueira,Jackson Sousa,W,Heel Hook,ABS,2015.0
164,Abdurakhman Bilarov,Team Nogueira,Ilya Bogoslovsky,W,Kimura,94KG,2016.0
165,Abdurakhman Bilarov,Team Nogueira,Abdulbary Guseinov,W,Points,94KG,2016.0
166,Abdurakhman Bilarov,Team Nogueira,Jackson Jacinto,W,Armbar,92KG,2017.0
167,Abdurakhman Bilarov,Team Nogueira,Jongmok Kim,W,Referee Decision,94KG,
168,Abdurakhman Bilarov,Team Nogueira,Basel Fanous,W,Pts: 2X2,94KG,
169,Abdurakhman Bilarov,Team Nogueira,Rodrigo Cavaca,W,Referee Decision,95KG,2017.0
170,Abdurakhman Bilarov,Team Nogueira,Luc Rousseau,W,Heel Hook,95KG,2017.0
171,Abdurakhman Bilarov,Team Nogueira,Otto Kuikka,W,Heel Hook,95KG,2017.0
172,Abdurakhman Bilarov,Team Nogueira,Mraz Avdoyan,W,Rnc,95KG,2017.0
173,Abdurakhman Bilarov,Team Nogueira,Vitor Toledo,W,Points,94KG,2017.0
174,Abdurakhman Bilarov,Team Nogueira,Jake Shields,W,Pts: 5X0,99KG,2017.0
175,Abdurakhman Bilarov,Team Nogueira,Jackson Sousa,W,Heel Hook,95KG,2017.0
176,Abdurakhman Bilarov,Team Nogueira,Erberth Santos,W,Heel Hook,95KG,2017.0
177,Abdurakhman Bilarov,Team Nogueira,Kazhigali Tuleshev,W,Armbar,100KG,2018.0
178,Abdurakhman Bilarov,Team Nogueira,Andrii Haleta,W,Katagatame,100KG,2018.0
179,Abdurakhman Bilarov,Team Nogueira,Kamil Umiski,W,Darce Choke,100KG,2018.0
180,Abdurakhman Bilarov,Team Nogueira,A. Ghitta,W,Mounted Triangle,100KG,2019.0
181,Abdurakhman Bilarov,Team Nogueira,Andrii Haleta,W,Rnc,100KG,2019.0
182,Abdurakhman Bilarov,Team Nogueira,T. Galimov,W,Rnc,100KG,2019.0
183,Abdurakhman Bilarov,Team Nogueira,Nicolas Penzer,W,Pts: 7X2,94KG,2019.0
184,Abdurakhman Bilarov,Team Nogueira,Pouya Rahman,W,Dq,O91KG,2023.0
185,Abraham Marte,Basico Bjj,R. Evangelista,L,Referee Decision,O100KG,2013.0
186,Abraham Marte,Basico Bjj,Andre Galvao,L,Kneebar,ABS,2013.0
187,Abraham Marte,Basico Bjj,Rodrigo Cavaca,L,Dq,O100KG,2013.0
188,Abraham Marte,Basico Bjj,Victor Estima,L,Estima Lock,ABS,2014.0
189,Abraham Marte,Basico Bjj,Andre Galvao,L,Choke From Back,O100KG,2014.0
190,Abraham Marte,Basico Bjj,Lucas Lepri,L,Armbar,ABS,2014.0
191,Abraham Marte,Basico Bjj,Andre Galvao,L,Wristlock,ABS,2014.0
192,Abraham Marte,Basico Bjj,Bernardo Faria,L,Armbar,ABS,2014.0
193,Abraham Marte,Basico Bjj,Alexander Trans,L,Pts: 2X0,O100KG,2014.0
194,Abraham Marte,Basico Bjj,Gabriel Lucas,L,Pts: 3X0,O100KG,2014.0
195,Abraham Marte,Basico Bjj,AJ Agazarm,L,Pts: 4X2,ABS,2014.0
196,Abraham Marte,Basico Bjj,Keenan Cornelius,L,Pts: 2X2,ABS,
197,Abraham Marte,Basico Bjj,Yuri Simoes,L,Points,O100KG,2014.0
198,Abraham Marte,Basico Bjj,Bernardo Faria,L,Kneebar,O100KG,2014.0
199,Abraham Marte,Basico Bjj,Claudio Calasans,L,Pts: 5X4,ABS,2014.0
200,Abraham Marte,Basico Bjj,James Puopolo,L,Pts: 7X4,O100KG,2015.0
201,Abraham Marte,Basico Bjj,Alexander Trans,L,Kneebar,ABS,2015.0
202,Abraham Marte,Basico Bjj,Joao Assis,L,Heel Hook,ABS,2015.0
203,Abraham Marte,Basico Bjj,Joao Rocha,L,Pts: 3X0,O99KG,2015.0
204,Abraham Marte,Basico Bjj,Jonathan Satava,L,Pts: 3X0,ABS,2016.0
205,Abraham Marte,Basico Bjj,Thiago Sa,L,Pts: 4X0,HWABS,2016.0
206,Abraham Marte,Basico Bjj,Romulo Azevedo,L,Pts: 5X2,HWABS,2016.0
207,Abraham Marte,Basico Bjj,Dany Gerard,L,Choke,O100KG,2016.0
