id,name,team,oppName,outcome,method,weightDiv,year
0,Aaron Johnson,Unity,Quentin Rosensweig,L,Inside Heel Hook,ABS,2015
1,Aaron Johnson,Unity,Neiman Gracie,L,Rnc,94KG,2015
2,Aaron Johnson,Unity,Richie Martinez,L,Heel Hook,ABS,2015
3,Aaron Johnson,Unity,Leo Nogueira,L,Points,94KG,2016
5,Aaron Johnson,Unity,Abraham Marte,L,Cross Choke,HWABS,2016
6,Aaron Johnson,Unity,Andre Galvao,L,Choke,ABS,2016
7,Aaron Johnson,Unity,Joao Soares,L,Triangle,100KG,2016
8,Aaron Johnson,Unity,Bernardo Faria,L,Triangle Armbar,ABS,2016
9,Aaron Johnson,Unity,Joao Rocha,L,Choke From Back,ABS,2016
10,Aaron Johnson,Unity,Marcos Tinoco,L,Points,ABS,2016
11,Aaron Johnson,Unity,Mike Hillebrand,L,Inside Heel Hook,84KG,2016
12,Aaron Johnson,Unity,Dillon Danis,L,Arm In Guillotine,ABS,2016
13,Aaron Johnson,Unity,Yuri Simoes,L,Pts: 19X0,O97KG,2016
14,Aaron Johnson,Unity,Leo Nogueira,L,Points,110KG,2017
15,Aaron Johnson,Unity,Helton Jose,L,Pts: 10X0,ABS,2017
16,Aaron Johnson,Unity,Jonathan Satava,L,Points,110KG,2017
17,Aaron Johnson,Unity,Keenan Cornelius,L,Points,110KG,2017
18,Aaron Johnson,Unity,Tanner Rice,L,Pts: 4X2,94KG,2017
19,Aaron Johnson,Unity,Gianni Grippo,L,Points,ABS,2017
20,Aaron Johnson,Unity,Joao Rocha,L,Botinha,ABS,2017
21,Aaron Johnson,Unity,Leandro Lo,L,Bread Cutter Choke,94KG,2017
22,Aaron Johnson,Unity,Mahamed Aly,L,Calf Slicer,O97KG,2017
23,Aaron Johnson,Unity,DJ Jackson,L,Points,ABS,2017
24,Aaron Johnson,Unity,Gordon Ryan,L,Reverse Triangle,ABS,2017
25,Aaron Johnson,Unity,Craig Jones,L,Inside Heel Hook,ABS,2017
26,Aaron Johnson,Unity,Joao Assis,L,Pts: 2X0,97KG,2017
27,Aaron Johnson,Unity,Keenan Cornelius,L,Rnc,ABS,2017
29,Aaron Johnson,Unity,Matt Leighton,L,Points,110KG,2018
30,Aaron Johnson,Unity,Tanner Rice,L,Dq,O85KG,2018
31,Aaron Johnson,Unity,Tanner Rice,L,Pts: 7X2,94KG,2018
32,Aaron Johnson,Unity,Matt Leighton,L,Triangle Armbar,93KG,2018
33,Aaron Johnson,Unity,Fellipe Trovo,L,Pts: 4X2,95KG,2018
34,Aaron Johnson,Unity,Victor Silverio,L,Referee Decision,ABS,2018
35,Aaron Johnson,Unity,Rafael Vasconcelos,L,Dq,97KG,2018
36,Aaron Johnson,Unity,Diogo Sampaio,L,Dq,ABS,2018
37,Aaron Johnson,Unity,Max Gimenis,L,Pts: 6X0,O97KG,2018
38,Aaron Johnson,Unity,Yuri Simoes,L,Pts: 5X0,ABS,2018
39,Aaron Johnson,Unity,Keenan Cornelius,L,Pts: 34X0,ABS,2019
40,Aaron Johnson,Unity,Patrick Gaudio,L,Pts: 15X0,94KG,2019
41,Aaron Johnson,Unity,Kaynan Duarte,L,Pts: 6X1,93KG,2019
42,Aaron Johnson,Unity,Mahamed Aly,L,Choke,100KG,2019
43,Aaron Johnson,Unity,Craig Jones,L,Rnc,92KG,2019
44,Aaron Johnson,Unity,Tim Spriggs,L,Referee Decision,100KG,2019
45,Aaron Johnson,Unity,Max Gimenis,L,Pts: 11X0,O97KG,2019
