,id,name,team,oppName,outcome,method,weightDiv,year
0,0,Aaron Johnson,Unity JJ,Quentin Rosensweig,L,Inside heel hook,ABS,2015
1,1,Aaron Johnson,Unity JJ,Neiman Gracie,L,RNC,94KG,2015
2,2,Aaron Johnson,Unity JJ,Richie Martinez,L,Heel hook,ABS,2015
3,3,Aaron Johnson,Unity JJ,Leo Nogueira,L,Points,94KG,2016
4,4,Aaron Johnson,Unity JJ,Romulo Azevedo,L,N/A,94KG,2016
5,5,Aaron Johnson,Unity JJ,Abraham Marte,L,Cross choke,HWABS,2016
6,6,Aaron Johnson,Unity JJ,Andre Galvao,L,Choke,ABS,2016
7,7,Aaron Johnson,Unity JJ,Joao Soares,L,Triangle,100KG,2016
8,8,Aaron Johnson,Unity JJ,Bernardo Faria,L,Triangle armbar,ABS,2016
9,9,Aaron Johnson,Unity JJ,Joao Rocha,L,Choke from back,ABS,2016
10,10,Aaron Johnson,Unity JJ,Marcos Tinoco,L,Points,ABS,2016
11,11,Aaron Johnson,Unity JJ,Mike Hillebrand,L,Inside heel hook,84KG,2016
12,12,Aaron Johnson,Unity JJ,Dillon Danis,L,Arm in guillotine,ABS,2016
13,13,Aaron Johnson,Unity JJ,Yuri Simoes,L,Pts: 19x0,O97KG,2016
14,14,Aaron Johnson,Unity JJ,Leo Nogueira,L,Points,110KG,2017
15,15,Aaron Johnson,Unity JJ,Helton Jose,L,Pts: 10x0,ABS,2017
16,16,Aaron Johnson,Unity JJ,Jonathan Satava,L,Points,U110KG,2017
17,17,Aaron Johnson,Unity JJ,Keenan Cornelius,L,Points,U110KG,2017
18,18,Aaron Johnson,Unity JJ,Tanner Rice,L,Pts: 4x2,94KG,2017
19,19,Aaron Johnson,Unity JJ,Gianni Grippo,L,Points,ABS,2017
20,20,Aaron Johnson,Unity JJ,Joao Rocha,L,Botinha,ABS,2017
21,21,Aaron Johnson,Unity JJ,Leandro Lo,L,Brabo choke,94KG,2017
22,22,Aaron Johnson,Unity JJ,Mahamed Aly,L,Calf slicer,O97KG,2017
23,23,Aaron Johnson,Unity JJ,DJ Jackson,L,Points,ABS,2017
24,24,Aaron Johnson,Unity JJ,Gordon Ryan,L,Reverse triangle,ABS,2017
25,25,Aaron Johnson,Unity JJ,Craig Jones,L,Inside heel hook,ABS,2017
26,26,Aaron Johnson,Unity JJ,Joao Assis,L,Pts: 2x0,97KG,2017
27,27,Aaron Johnson,Unity JJ,Keenan Cornelius,L,RNC,ABS,2017
28,28,Aaron Johnson,Unity JJ,Dany Gerard,L,"Pts: 0x0, Adv",110KG,2018
29,29,Aaron Johnson,Unity JJ,Matt Leighton,L,Points,110KG,2018
30,30,Aaron Johnson,Unity JJ,Tanner Rice,L,DQ,O85KG,2018
31,31,Aaron Johnson,Unity JJ,Tanner Rice,L,Pts: 7x2,94KG,2018
32,32,Aaron Johnson,Unity JJ,Matt Leighton,L,Triangle armbar,93KG,2018
33,33,Aaron Johnson,Unity JJ,Fellipe Trovo,L,Pts: 4x2,95KG,2018
34,34,Aaron Johnson,Unity JJ,Victor Silverio,L,Referee Decision,ABS,2018
35,35,Aaron Johnson,Unity JJ,Rafael Vasconcelos,L,DQ,97KG,2018
36,36,Aaron Johnson,Unity JJ,Diogo Sampaio,L,DQ,ABS,2018
37,37,Aaron Johnson,Unity JJ,Max Gimenis,L,Pts: 6x0,O97KG,2018
38,38,Aaron Johnson,Unity JJ,Yuri Simoes,L,Pts: 5x0,ABS,2018
39,39,Aaron Johnson,Unity JJ,Keenan Cornelius,L,Pts: 34x0,ABS,2019
40,40,Aaron Johnson,Unity JJ,Patrick Gaudio,L,Pts: 15x0,94KG,2019
41,41,Aaron Johnson,Unity JJ,Kaynan Duarte,L,Pts: 6x1,93KG,2019
42,42,Aaron Johnson,Unity JJ,Mahamed Aly,L,Choke,100KG,2019
43,43,Aaron Johnson,Unity JJ,Craig Jones,L,RNC,92KG,2019
44,44,Aaron Johnson,Unity JJ,Tim Spriggs,L,Referee Decision,100KG,2019
45,45,Aaron Johnson,Unity JJ,Max Gimenis,L,Pts: 11x0,O97KG,2019
46,46,Aaron Johnson,Unity JJ,James Puopolo,L,Pts: 3x0,99KG,2019
47,47,Aaron Johnson,Unity JJ,Marcus Almeida,L,Pts: 3x0,ABS,2019
48,48,Aaron Johnson,Unity JJ,Kyle Boehm,L,EBI/OT,ABS,2019
49,49,Aaron Johnson,Unity JJ,Kyle Boehm,L,EBI/OT,ABS,2019
50,50,Aaron Johnson,Unity JJ,Victor Hugo,L,Triangle armbar,ABS,2019
51,51,Aaron Johnson,Unity JJ,Freddy Vosgrone,L,Referee Decision,97KG,2019
52,52,Aaron Johnson,Unity JJ,Gordon Ryan,L,Katagatame,N/A,2020
53,53,Aaron Johnson,Unity JJ,Rafael Vasconcelos,L,Pts: 3x0,94KG,2020
54,54,Aaron Johnson,Unity JJ,Fellipe Trovo,L,Triangle,94KG,2020
55,55,Aaron Johnson,Unity JJ,Paulo Gabriel,L,Pts: 6x4,ABS,2020
56,56,Aaron Johnson,Unity JJ,Guilherme Augusto,L,Arm in Ezekiel,100KG,2020
57,57,Aaron Johnson,Unity JJ,Daishi Goto,L,DQ,ABS,2020
58,58,Aaron Johnson,Unity JJ,William Tackett,L,Katagatame,ABS,2020
59,59,Aaron Johnson,Unity JJ,Kaynan Duarte,L,Armbar,97KG,2020
60,60,Aaron Johnson,Unity JJ,Max Gimenis,L,Referee Decision,ABS,2021
61,61,Aaron Johnson,Unity JJ,Vinicius Trator,L,Pts: 5x0,O91KG,2021
62,62,Aaron Johnson,Unity JJ,Kaynan Duarte,L,Points,ABS,2021
63,63,Aaron Johnson,Unity JJ,Matheus Gabriel,L,Pts: 2x0,ABS,2021
64,64,Aaron Johnson,Unity JJ,Victor Hugo,L,Pts: 2x2,O97KG,2021
65,65,Aaron Johnson,Unity JJ,Gustavo Batista,L,Referee Decision,N/A,2021
66,66,Aaron Johnson,Unity JJ,Tim Spriggs,L,Referee Decision,ABS,2021
67,67,Aaron Johnson,Unity JJ,Vitor Schlosser,W,Toe hold,94KG,2015
68,68,Aaron Johnson,Unity JJ,Ricardo Bastos,W,Straight ankle lock,94KG,2015
69,69,Aaron Johnson,Unity JJ,Joseph Cashin,W,Points,ABS,2016
70,70,Aaron Johnson,Unity JJ,Gordon Ryan,W,Points,ABS,2016
71,71,Aaron Johnson,Unity JJ,Wellington Peroto,W,Straight ankle lock,94KG,2016
72,72,Aaron Johnson,Unity JJ,Lincoln Pereira,W,Choke from back,100KG,2016
73,73,Aaron Johnson,Unity JJ,Choi Choi,W,"Pts: 0x0, Adv",ABS,2016
74,74,Aaron Johnson,Unity JJ,Leo Davila,W,Straight ankle lock,O97KG,2016
75,75,Aaron Johnson,Unity JJ,Samir Abdolkader,W,Flying armbar,ABS,2016
76,76,Aaron Johnson,Unity JJ,Eliot Marshall,W,Toe hold,O97KG,2016
77,77,Aaron Johnson,Unity JJ,Shaun Dufree,W,Toe hold,110KG,2017
78,78,Aaron Johnson,Unity JJ,William Nyman,W,Submission,U110KG,2017
79,79,Aaron Johnson,Unity JJ,Daniel Richards,W,Points,O100KG,2017
80,80,Aaron Johnson,Unity JJ,Christian Simmerling,W,Points,O100KG,2017
81,81,Aaron Johnson,Unity JJ,Joao Paulo,W,Points,ABS,2017
82,82,Aaron Johnson,Unity JJ,Josh Bowlin,W,Pts: 7x6,94KG,2017
83,83,Aaron Johnson,Unity JJ,Kaliffa Oliviera,W,Referee Decision,94KG,2017
84,84,Aaron Johnson,Unity JJ,Kory Acchione,W,Referee Decision,N/A,2017
85,85,Aaron Johnson,Unity JJ,Leo Davilla,W,Armbar,97KG,2017
86,86,Aaron Johnson,Unity JJ,Taniel Santos,W,Straight ankle lock,ABS,2017
87,87,Aaron Johnson,Unity JJ,Oleksandr Karliychuk,W,Straight ankle lock,O97KG,2017
88,88,Aaron Johnson,Unity JJ,Matt Leighton,W,Referee Decision,O97KG,2017
89,89,Aaron Johnson,Unity JJ,Matt Kirchwhem,W,EBI/OT,ABS,2017
90,90,Aaron Johnson,Unity JJ,A. Kimler,W,Armbar,ABS,2017
91,91,Aaron Johnson,Unity JJ,Paul Ardila,W,Pts: 4x0,97KG,2017
92,92,Aaron Johnson,Unity JJ,Vitor Schlosser,W,Choke from back,110KG,2018
93,93,Aaron Johnson,Unity JJ,Gilvan Costa,W,Straight ankle lock,94KG,2018
94,94,Aaron Johnson,Unity JJ,Inacio Neto,W,Kneebar,94KG,2018
95,95,Aaron Johnson,Unity JJ,Kenneth Brown,W,Pts: 4x2,110KG,2018
96,96,Aaron Johnson,Unity JJ,Frisco DeLeon,W,Adv,O85KG,2018
97,97,Aaron Johnson,Unity JJ,Rodrigo Freitas,W,Calf slicer,ABS,2018
98,98,Aaron Johnson,Unity JJ,Tanner Rice,W,Kneebar,ABS,2018
99,99,Aaron Johnson,Unity JJ,Wellington Peroto,W,Straight ankle lock,94KG,2018
100,100,Aaron Johnson,Unity JJ,Thiago Jiuliani,W,Points,100KG,2018
101,101,Aaron Johnson,Unity JJ,Nicholas Penzer,W,Straight ankle lock,100KG,2018
102,102,Aaron Johnson,Unity JJ,Roberto Torralbas,W,Pts: 2x0,97KG,2018
103,103,Aaron Johnson,Unity JJ,Jackson Sousa,W,Footlock,97KG,2018
104,104,Aaron Johnson,Unity JJ,Tom deBlass,W,Referee Decision,ABS,2018
105,105,Aaron Johnson,Unity JJ,Riley Mccormick,W,Reverse triangle,O99KG,2018
106,106,Aaron Johnson,Unity JJ,JeQuan Williamson,W,Triangle armbar,O99KG,2018
107,107,Aaron Johnson,Unity JJ,Andrew Tevay,W,Kneebar,O99KG,2018
108,108,Aaron Johnson,Unity JJ,Hudson Taylor,W,Kneebar,O99KG,2018
109,109,Aaron Johnson,Unity JJ,Kevin Gallager,W,Points,ABS,2018
110,110,Aaron Johnson,Unity JJ,Satoshi Ishii,W,Triangle,O97KG,2018
111,111,Aaron Johnson,Unity JJ,Ben Hodgkinson,W,Straight ankle lock,ABS,2018
112,112,Aaron Johnson,Unity JJ,David Garmo,W,Pts: 10x2,ABS,2018
113,113,Aaron Johnson,Unity JJ,Ricardo Abreu,W,Pts: 1x0,94KG,2019
114,114,Aaron Johnson,Unity JJ,Gustavo Andrade,W,Straight ankle lock,ABS,2019
115,115,Aaron Johnson,Unity JJ,Nisar Loynab,W,Straight ankle lock,ABS,2019
116,116,Aaron Johnson,Unity JJ,Matt Leighton,W,Straight ankle lock,ABS,2019
117,117,Aaron Johnson,Unity JJ,M Sturua,W,Choke from back,94KG,2019
118,118,Aaron Johnson,Unity JJ,Jackson Sousa,W,Inside heel hook,93KG,2019
119,119,Aaron Johnson,Unity JJ,Valdir Araujo,D,---,93KG,2019
120,120,Aaron Johnson,Unity JJ,Felipe Pena,W,Inside heel hook,93KG,2019
121,121,Aaron Johnson,Unity JJ,Lucasz Gustaw,W,Mounted choke,100KG,2019
122,122,Aaron Johnson,Unity JJ,Paulo Brasil,W,Submission,O97KG,2019
123,123,Aaron Johnson,Unity JJ,Briean Beaury,W,Armlock,ABS,2019
124,124,Aaron Johnson,Unity JJ,Todd Mueckenheim,W,Kimura,ABS,2019
125,125,Aaron Johnson,Unity JJ,Jon Blank,W,Straight ankle lock,ABS,2019
126,126,Aaron Johnson,Unity JJ,Viktor Vaughn,W,Heel hook,ABS,2019
